slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
theisda01,Daniel Theis,CENTER,27,BOSTON CELTICS,65,1566,17.9,0.631,0.225,0.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,0.201,0.6,1.8,2.4,1.7,False
thomais02,Isaiah Thomas,POINT GUARD,30,WASHINGTON WIZARDS,40,925,11.6,0.531,0.444,0.178,1.2,7.0,4.0,23.4,0.7,0.6,14.4,24.1,0.1,-0.1,0.0,0.002,-0.5,-3.9,-4.4,-0.5,False
thomakh01,Khyri Thomas,SHOOTING GUARD,23,DETROIT PISTONS,8,61,3.1,0.453,0.824,0.235,1.8,0.0,0.9,6.7,2.4,0.0,13.8,15.6,-0.1,0.0,0.0,-0.038,-6.2,-1.7,-7.9,-0.1,False
thomala01,Lance Thomas,POWER FORWARD,31,BROOKLYN NETS,7,98,3.0,0.485,0.565,0.174,2.2,11.4,6.9,8.2,0.0,0.0,19.5,13.1,-0.1,0.1,0.0,-0.015,-5.7,-2.5,-8.2,-0.2,False
thomama02,Matt Thomas,SHOOTING GUARD,25,TORONTO RAPTORS,41,440,13.3,0.65,0.66,0.08,2.2,12.2,7.3,7.5,1.1,0.2,9.3,16.6,0.7,0.6,1.2,0.133,1.0,0.1,1.1,0.3,False
thomptr01,Tristan Thompson,POWER FORWARD,28,CLEVELAND CAVALIERS,57,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,0.085,-0.2,-1.3,-1.5,0.2,False
thornsi01,Sindarius Thornwell,SMALL FORWARD,25,NEW ORLEANS PELICANS,2,35,14.7,0.627,0.364,0.364,0.0,12.2,6.1,16.1,1.3,2.4,13.6,17.3,0.0,0.0,0.1,0.101,0.4,-1.2,-0.8,0.0,False
thybuma01,Matisse Thybulle,SHOOTING GUARD,22,PHILADELPHIA 76ERS,65,1287,10.0,0.539,0.592,0.155,3.8,5.4,4.6,8.0,3.5,3.1,15.3,11.2,0.3,2.0,2.3,0.086,-2.8,3.1,0.3,0.8,False
tollian01,Anthony Tolliver,POWER FORWARD,34,PORTLAND TRAIL BLAZERS,33,554,7.5,0.515,0.761,0.162,5.2,15.5,10.4,6.6,0.7,1.4,14.3,11.2,0.2,0.2,0.4,0.031,-2.3,-0.9,-3.3,-0.2,False
tollian01,Anthony Tolliver,POWER FORWARD,34,SACRAMENTO KINGS,9,82,0.2,0.252,0.882,0.118,2.7,12.7,7.6,4.5,2.4,1.2,18.3,11.6,-0.2,0.1,-0.2,-0.1,-7.8,-1.0,-8.8,-0.1,False
tollian01,Anthony Tolliver,POWER FORWARD,34,MEMPHIS GRIZZLIES,13,236,8.0,0.602,0.854,0.167,2.3,12.3,7.4,5.3,1.4,0.4,14.9,10.7,0.1,0.2,0.3,0.061,-1.8,0.6,-1.2,0.0,False
toscaju01,Juan Toscano-Anderson,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,13,272,9.4,0.529,0.365,0.079,3.5,17.8,10.4,13.8,2.3,1.7,19.7,12.7,-0.1,0.2,0.2,0.03,-4.1,0.5,-3.6,-0.1,False
townska01,Karl-Anthony Towns,CENTER,24,MINNESOTA TIMBERWOLVES,35,1187,26.5,0.642,0.445,0.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.7,1.3,5.1,0.204,7.0,0.8,7.8,2.9,False
trentga02,Gary Trent Jr.,SMALL FORWARD,21,PORTLAND TRAIL BLAZERS,61,1332,12.9,0.587,0.608,0.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,0.089,0.5,-0.8,-0.3,0.6,False
trieral01,Allonzo Trier,SHOOTING GUARD,24,NEW YORK KNICKS,24,291,14.5,0.62,0.5,0.406,2.1,8.7,5.3,14.8,0.5,1.3,15.0,21.4,0.5,0.1,0.5,0.087,1.0,-1.4,-0.4,0.1,False
tuckepj01,P.J. Tucker,POWER FORWARD,34,HOUSTON ROCKETS,72,2467,8.3,0.559,0.702,0.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,1.6,2.4,4.0,0.078,-2.4,0.6,-1.9,0.1,False
tuckera01,Rayjon Tucker,SHOOTING GUARD,22,UTAH JAZZ,20,161,9.7,0.584,0.395,0.535,2.1,11.2,6.8,4.4,0.3,0.5,13.1,16.6,0.1,0.1,0.2,0.063,-3.8,-2.2,-6.1,-0.2,False
turneev01,Evan Turner,SHOOTING GUARD,31,ATLANTA HAWKS,19,251,6.8,0.424,0.075,0.209,3.4,13.0,8.2,20.6,1.7,2.7,26.2,16.4,-0.5,0.1,-0.3,-0.064,-4.9,-0.7,-5.5,-0.2,False
turnemy01,Myles Turner,CENTER,23,INDIANA PACERS,62,1826,14.8,0.566,0.426,0.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,0.111,-1.0,1.1,0.1,1.0,False
uthofja01,Jarrod Uthoff,POWER FORWARD,26,MEMPHIS GRIZZLIES,4,14,-0.1,0.254,0.571,0.286,7.7,0.0,3.8,0.0,3.3,0.0,0.0,23.4,-0.1,0.0,0.0,-0.166,-10.9,-3.0,-13.9,0.0,False
